访客类型,月份,产品相关页面访问持续时间,信息相关页面,用户相关页面,信息相关页面访问持续时间,退出率,跳出率,产品相关页面,网页价值,操作系统,周末,浏览器,用户页面访问持续时间,区域,流量类型,节假日,是否购买
Returning_Visitor,May,324.5,5,0,133,0.031481481,0,16,0,3,FALSE,2,0,8,4,0,0
Returning_Visitor,Mar,130.5,0,0,0,0.008333333,0,12,0,2,FALSE,2,0,1,10,0,0
Returning_Visitor,Nov,1445.458333,6,0,167,0.013963964,0.004054054,71,12.30811748,3,FALSE,2,0,1,10,0,1
Returning_Visitor,May,149.5,0,0,0,0.066666667,0,6,0,2,FALSE,2,0,1,13,0.4,0
Returning_Visitor,Nov,249,0,0,0,0.064,0.04,10,0,1,FALSE,1,0,8,3,0,0
Returning_Visitor,Mar,192,0,0,0,0.04,0,6,0,2,FALSE,10,0,4,3,0,0
Returning_Visitor,Nov,0,0,0,0,0.2,0.2,1,0,3,FALSE,2,0,2,1,0,0
New_Visitor,Nov,180.75,2,0,18,0.014285714,0,12,0,2,FALSE,2,0,1,2,0,0
Returning_Visitor,May,464,0,0,0,0.022222222,0,9,29.31555556,2,FALSE,2,0,1,2,0,1
Returning_Visitor,May,36,0,0,0,0.15,0.1,4,0,2,FALSE,5,0,1,3,0.6,0
Returning_Visitor,Mar,1883.827222,4,0,600.4230769,0.013061325,0.00075188,17,0.120699914,2,FALSE,2,0,1,8,0,1
Returning_Visitor,Nov,4442.394444,7,4,70,0.014283502,0.011678832,131,0,4,TRUE,1,35,1,2,0,0
Returning_Visitor,Mar,128,0,0,0,0.016666667,0,7,0,2,FALSE,2,0,1,1,0,0
Returning_Visitor,Nov,2250.35,0,2,0,0.030952381,0.014285714,12,0,1,TRUE,1,861,3,2,0,0
Returning_Visitor,Mar,2049.458471,5,1,193,0.012765306,0.004489796,66,29.45815149,3,TRUE,2,13,3,1,0,0
Returning_Visitor,Nov,9297.575489,4,4,33.91666667,0.027881156,0.011608301,251,0,2,FALSE,2,785.875,1,2,0,0
Returning_Visitor,Oct,1197.8,0,0,0,0.01,0,11,0,2,FALSE,2,0,3,20,0,0
New_Visitor,Sep,165.1,1,0,62.46666667,0.016666667,0,5,0,3,FALSE,2,0,3,3,0,0
Returning_Visitor,Nov,1904.541667,6,0,65.41666667,0.026060606,0.004848485,29,0,1,FALSE,1,0,2,8,0,1
Returning_Visitor,June,1544.533333,0,0,0,0.080246914,0.048148148,27,0,1,FALSE,1,0,3,3,0,0
Returning_Visitor,May,641.5,0,0,0,0.0375,0,16,0,4,FALSE,1,0,7,1,0,0
Returning_Visitor,Nov,1143.833333,16,0,237.35,0.014488017,0.009803922,46,0,3,TRUE,2,0,4,1,0,0
Returning_Visitor,Mar,1274.190476,4,0,55.5,0.009285714,0.005714286,33,0,2,TRUE,2,0,6,2,0,0
Returning_Visitor,Dec,0,0,0,0,0.2,0.2,1,0,1,TRUE,1,0,1,1,0,0
Returning_Visitor,Mar,13,0,0,0,0.1,0,1,0,2,FALSE,2,0,3,1,0,0
New_Visitor,Nov,268,2,0,16.2,0.04,0,3,49.55482147,2,FALSE,2,0,5,5,0,0
Returning_Visitor,Aug,1003.38,3,0,103.6,0.08699187,0.068292683,39,0,1,FALSE,1,0,1,3,0,0
Returning_Visitor,Nov,530.5833333,0,0,0,0.021428571,0.019047619,21,0,3,FALSE,2,0,4,3,0,0
Returning_Visitor,Sep,897.3619048,2,0,109.8,0.035620915,0.005882353,32,0,2,FALSE,10,0,4,2,0,0
Returning_Visitor,Nov,3197.755638,0,0,0,0.021511083,0.01,81,0,3,TRUE,2,0,4,10,0,0
New_Visitor,Mar,188,0,1,0,0.033333333,0,7,0,2,FALSE,2,0,1,8,0,0
Returning_Visitor,June,1983.225629,1,1,10,0.007916667,0.0025,78,15.50362136,3,FALSE,2,36.6,1,2,0,0
Returning_Visitor,Mar,42,0,0,0,0.05,0,2,0,2,FALSE,2,0,6,3,0,0
Returning_Visitor,Mar,1136.60303,0,0,0,0.003517665,0,62,0,1,TRUE,1,0,1,3,0,0
Returning_Visitor,May,252,0,0,0,0.052941176,0.023529412,17,0,2,FALSE,7,0,9,11,0.8,0
Returning_Visitor,May,648,0,0,0,0.1,0,2,0,1,FALSE,1,0,4,1,0.8,0
New_Visitor,Nov,135.0833333,5,0,87.75,0.009090909,0,6,0,1,TRUE,1,0,2,2,0,0
Returning_Visitor,Nov,198.1333333,0,0,0,0.053333333,0,9,0,1,FALSE,1,0,9,2,0,0
Returning_Visitor,May,311,0,1,0,0.036363636,0.018181818,10,0,2,TRUE,10,38,2,4,0,0
Returning_Visitor,Dec,1938.996646,2,0,40.5,0.01808048,0.003863636,89,0,1,FALSE,1,0,1,3,0,0
Returning_Visitor,May,149,0,0,0,0.1,0,2,0,1,FALSE,1,0,1,3,0,0
New_Visitor,May,693.5,0,0,0,0.022222222,0,10,40.43377778,2,FALSE,2,0,1,4,0,1
Returning_Visitor,Dec,0,0,0,0,0.2,0.2,1,0,3,FALSE,2,0,4,1,0,0
Returning_Visitor,May,274.25,3,0,67,0.035,0.0125,7,0,3,FALSE,2,0,1,1,0,0
Returning_Visitor,Aug,601.0333333,0,0,0,0.092156863,0.062745098,17,18.87145759,3,FALSE,2,0,3,1,0,1
Returning_Visitor,June,85.6,0,1,0,0.046666667,0.011111111,5,0,3,FALSE,2,0,6,2,0,0
Returning_Visitor,Mar,3036.4,0,0,0,0.021186441,0,59,0,2,TRUE,2,0,6,13,0,0
New_Visitor,Mar,271,1,0,5,0.003571429,0,13,0,1,TRUE,1,0,2,2,0,0
Returning_Visitor,May,255.3222222,0,0,0,0.038888889,0.025,24,0,2,FALSE,2,0,8,1,0.6,0
Returning_Visitor,Mar,0,0,0,0,0.2,0.2,3,0,1,FALSE,1,0,3,1,0,0
New_Visitor,Nov,27.2,5,0,56.8,0.033333333,0,3,0,2,FALSE,2,0,6,2,0,0
Returning_Visitor,Nov,58,0,0,0,0.1,0,2,0,2,TRUE,2,0,2,6,0,0
Returning_Visitor,Nov,1469.666667,3,0,1115.5,0.014492754,0.008695652,21,0,1,TRUE,1,0,1,8,0,0
Returning_Visitor,Dec,894.5809524,0,0,0,0.007142857,0,18,0,3,FALSE,2,0,4,6,0,0
Returning_Visitor,Dec,1645.679762,0,1,0,0.02962963,0.002222222,19,0,2,FALSE,5,100,6,1,0,0
Returning_Visitor,Mar,244.5,0,0,0,0.011111111,0,9,0,3,FALSE,2,0,1,3,0,0
New_Visitor,Nov,28,3,0,44,0.04,0,2,0,1,FALSE,1,0,1,2,0,0
Returning_Visitor,Nov,1836.775,1,0,6,0.004093567,0,57,0,2,FALSE,2,0,7,2,0,0
New_Visitor,Dec,48.5,0,0,0,0.1,0.05,4,0,2,FALSE,2,0,9,2,0,0
Returning_Visitor,Dec,2123,0,0,0,0.036363636,0.018181818,11,0,2,FALSE,2,0,1,6,0,0
Returning_Visitor,May,87,0,0,0,0.06,0.04,5,0,2,FALSE,2,0,3,6,0.6,0
Returning_Visitor,May,5703.476786,5,6,548.3142857,0.01470751,0.00173913,102,0,2,TRUE,2,448.5,1,4,0,0
Returning_Visitor,Aug,4424.621667,5,0,415.55,0.023036223,0.004273504,115,13.29131586,2,TRUE,4,0,4,1,0,1
Returning_Visitor,May,210,0,0,0,0.024242424,0.009090909,11,0,2,FALSE,2,0,8,2,0,0
Returning_Visitor,Nov,414.8666667,3,0,318.2,0.01,0,7,0,1,FALSE,1,0,6,2,0,0
Returning_Visitor,Dec,5999.808333,0,2,0,0.027207207,0.005405405,35,0,2,TRUE,2,157.5,4,1,0,0
Returning_Visitor,Mar,226.5,3,0,13,0.013333333,0,16,0,2,FALSE,5,0,1,2,0,0
Returning_Visitor,Nov,4123.956674,16,0,305,0.010521398,0.003797468,147,0,2,FALSE,2,0,1,8,0,1
Returning_Visitor,Nov,2504.870761,1,1,56.5,0.036429937,0.019555912,87,0,1,TRUE,2,41.5,1,11,0,0
Returning_Visitor,Mar,762.547619,0,0,0,0.017391304,0,22,0,2,TRUE,2,0,1,3,0,0
Returning_Visitor,Dec,5194.79857,2,2,83,0.014304381,0.003101093,241,0.468406088,2,FALSE,4,40,1,1,0,0
Returning_Visitor,May,366,0,0,0,0.056666667,0.02,10,0,1,FALSE,1,0,1,3,0.6,0
Returning_Visitor,Nov,1500.033333,0,0,0,0.01467803,0.00625,16,0,3,FALSE,2,0,4,6,0,0
Returning_Visitor,Nov,587.9166667,0,0,0,0.031666667,0.023333333,21,23.33239205,3,FALSE,2,0,1,10,0,0
Returning_Visitor,Nov,281.1,3,2,67.4,0.041666667,0,8,15.82044157,3,FALSE,2,16.2,1,20,0,1
Returning_Visitor,Mar,0,0,0,0,0.2,0.2,1,0,2,FALSE,4,0,1,1,0,0
Returning_Visitor,Mar,420,2,2,42,0.008333333,0,10,0,2,FALSE,2,54,8,1,0,0
Returning_Visitor,Dec,116.5,0,0,0,0.075757576,0.036363636,11,0,2,FALSE,2,0,1,1,0,0
Other,Dec,677,1,0,90,0.04,0,6,0,8,FALSE,13,0,9,20,0,0
Returning_Visitor,Nov,835.5833333,3,0,99.75,0.006451613,0,31,47.44850792,2,FALSE,2,0,1,10,0,1
Returning_Visitor,Sep,2002.76,4,2,100.6,0.026598639,0.008163265,93,0,2,FALSE,2,5,3,13,0,0
Returning_Visitor,May,117,0,0,0,0.1,0.066666667,3,0,3,FALSE,2,0,1,11,0,0
Returning_Visitor,May,880.8,8,2,176.6666667,0.020192308,0.007291667,27,8.54525,1,TRUE,1,153,2,2,0,1
Returning_Visitor,May,2852,6,2,70.5,0.043333333,0.013333333,25,0,2,FALSE,2,9,9,3,0,0
New_Visitor,Mar,1229.289286,11,1,348.6547619,0.002493853,0,64,54.95126905,2,FALSE,2,11,1,2,0,0
New_Visitor,Nov,269.25,0,0,0,0.008333333,0,6,0,3,FALSE,2,0,1,11,0,0
Returning_Visitor,Dec,0,0,0,0,0.2,0.2,3,0,3,FALSE,2,0,6,1,0,0
Returning_Visitor,May,631.3068627,0,0,0,0.047901224,0.021142857,36,0,2,FALSE,2,0,3,6,0.8,0
Returning_Visitor,May,1133.666667,0,0,0,0.038562092,0.028205128,6,0,3,FALSE,2,0,1,1,0.2,0
Returning_Visitor,Mar,0,0,0,0,0.2,0.2,1,0,3,FALSE,2,0,3,2,0,0
Returning_Visitor,Nov,305,0,0,0,0.02,0,10,0,2,FALSE,2,0,1,8,0,0
Returning_Visitor,Mar,321.5,1,0,0,0.1,0.05,3,0,3,FALSE,2,0,2,1,0,0
Returning_Visitor,June,1057.2,0,0,0,0.129580026,0.122222222,71,0,3,TRUE,2,0,2,13,0,0
Returning_Visitor,Mar,2217.333333,8,1,354.8333333,0.017361111,0.008333333,19,0,3,FALSE,2,57,1,1,0,0
Returning_Visitor,Mar,936.1666667,3,0,206.6666667,0.09375,0.01875,15,0,2,FALSE,4,0,3,1,0,0
Other,Dec,0,0,0,0,0.2,0.2,1,0,3,FALSE,2,0,1,1,0,0
Returning_Visitor,Mar,94.5,0,0,0,0.025555556,0.033333333,12,0,3,FALSE,2,0,4,11,0,0
Returning_Visitor,Mar,0,0,0,0,0.2,0.2,1,0,2,FALSE,2,0,1,1,0,0
Returning_Visitor,May,601.7901961,0,0,0,0.012763533,0.002222222,90,0,2,FALSE,2,0,3,1,0.8,0
Returning_Visitor,May,90.66666667,0,0,0,0.12,0.04,5,0,2,FALSE,2,0,6,6,0,0
Returning_Visitor,June,526.3761905,0,1,0,0.045751634,0.052941176,17,0,3,FALSE,2,105.1333333,6,13,0,0
Returning_Visitor,Sep,892,13,0,246.5333333,0.01127451,0,26,0,2,FALSE,6,0,1,3,0,0
Returning_Visitor,Nov,312.35,0,0,0,0.041666667,0,12,0,2,FALSE,2,0,1,2,0,0
Returning_Visitor,Oct,1683.744444,12,7,263.46,0.016666667,0.004878049,71,42.14163315,2,FALSE,10,145,1,4,0,0
Returning_Visitor,Dec,595.75,4,0,61.25,0.076190476,0.038095238,21,0,2,FALSE,2,0,4,1,0,0
Returning_Visitor,Dec,3616.008121,4,2,507.3333333,0.013535432,0.004093567,114,0,3,FALSE,2,286.6666667,9,1,0,0
New_Visitor,Nov,765.3928571,1,0,18,0.000892857,0,29,0,2,FALSE,2,0,8,3,0,0
Returning_Visitor,Mar,233.6666667,0,0,0,0.0875,0.025,8,0,2,FALSE,2,0,3,13,0,0
Returning_Visitor,May,542.1666667,2,0,63.66666667,0.03125,0.008333333,26,0,3,FALSE,2,0,5,4,0,0
Returning_Visitor,Jul,12,0,0,0,0.1,0,2,0,2,FALSE,10,0,2,6,0,0
Returning_Visitor,Jul,176.5,0,0,0,0.12,0.04,15,0,2,FALSE,2,0,1,3,0,0
Returning_Visitor,Dec,2478.070833,11,3,1284.3375,0.018144023,0.007355769,96,0,1,FALSE,1,303.625,3,2,0,0
Returning_Visitor,Aug,85.76666667,2,0,110.8,0.028571429,0,6,59.57182786,1,FALSE,1,0,1,4,0,1
Returning_Visitor,May,431.5,0,0,0,0.092083333,0.05625,16,0,3,FALSE,2,0,1,13,0.2,0
Returning_Visitor,Nov,804.25,0,0,0,0.028333333,0.015,20,0,3,FALSE,2,0,8,1,0,0
Returning_Visitor,Mar,79.5,0,0,0,0.033333333,0,3,0,3,FALSE,2,0,2,2,0,0
Returning_Visitor,May,156,0,0,0,0.1,0.06,5,0,1,TRUE,1,0,1,4,0,0
Returning_Visitor,Nov,3773.715179,1,3,43.5,0.018162523,0.004123711,93,17.77043431,2,FALSE,2,230.1666667,1,2,0,1
Returning_Visitor,May,806.5,4,0,58,0.009375,0,31,9.7455,2,FALSE,4,0,1,4,0,1
Returning_Visitor,Mar,1087.25,1,0,41,0.013636364,0,43,0,4,FALSE,2,0,1,1,0,0
Returning_Visitor,Dec,109.1944444,1,0,8,0.06,0.04,10,0,1,TRUE,1,0,7,3,0,0
Returning_Visitor,Mar,236,0,0,0,0.085714286,0.057142857,7,0,2,FALSE,2,0,3,2,0,0
Returning_Visitor,Nov,1470.629167,3,1,32.83333333,0.015396825,0.011111111,58,0,3,TRUE,2,13.25,1,1,0,0
Returning_Visitor,Nov,90.16666667,0,0,0,0.066666667,0.033333333,6,0,3,TRUE,2,0,4,1,0,0
New_Visitor,May,117,3,0,152,0.016666667,0,9,0,2,TRUE,2,0,1,5,0,0
Returning_Visitor,Nov,181.2666667,5,0,113.7,0.018181818,0.018181818,6,0,1,FALSE,1,0,8,3,0,0
Returning_Visitor,May,139,0,0,0,0.1,0,2,0,2,FALSE,2,0,1,4,0.8,0
Returning_Visitor,Mar,0,0,0,0,0.2,0.2,1,0,2,FALSE,6,0,1,1,0,0
Returning_Visitor,Mar,1583.596154,5,1,120,0.028282828,0,27,39.63270309,2,FALSE,2,0,4,2,0,0
Returning_Visitor,Oct,3297.491311,11,1,903.7,0.010281148,0.006140351,109,3.870588042,3,FALSE,2,26.2,6,1,0,0
Returning_Visitor,May,1005.946429,0,1,0,0.013333333,0.006666667,29,0,2,FALSE,2,3,5,5,0.8,0
Returning_Visitor,Mar,215.75,0,0,0,0.021052632,0,19,0,2,FALSE,2,0,3,10,0,0
New_Visitor,May,953.5,0,0,0,0.014285714,0,16,21.588,2,FALSE,2,0,9,4,0.8,1
Returning_Visitor,Mar,132.6333333,0,0,0,0.007843137,0.011764706,17,0,1,FALSE,1,0,1,2,0,0
Returning_Visitor,Nov,2544.053571,4,0,43,0.015920398,0,66,62.40576241,4,FALSE,1,0,2,2,0,0
Returning_Visitor,Dec,190.5,0,0,0,0.109090909,0.090909091,12,0,1,TRUE,1,0,6,1,0,0
Returning_Visitor,Dec,247,0,0,0,0.016666667,0,12,0,8,TRUE,1,0,3,1,0,0
Returning_Visitor,Mar,1813.208333,3,1,130.8333333,0.002083333,0,47,0,2,TRUE,2,109,3,2,0,0
Returning_Visitor,Mar,1253.333333,2,2,28,0.014666667,0.006666667,27,39.7173,2,FALSE,2,175.5,1,2,0,1
Returning_Visitor,June,488.7166667,4,0,57.3,0.067517007,0.021428571,25,0,2,FALSE,5,0,1,1,0,0
New_Visitor,Dec,51.5,0,0,0,0.05,0,4,0,2,FALSE,2,0,1,2,0,0
Returning_Visitor,Nov,1958.833333,0,0,0,0.035185185,0.011111111,20,0,3,FALSE,2,0,5,1,0,0
Returning_Visitor,Mar,502.547619,5,0,117.8333333,0.036923077,0.01025641,35,3.148615385,2,FALSE,2,0,2,2,0,1
New_Visitor,Oct,0,0,0,0,0.2,0.2,1,0,1,TRUE,1,0,1,1,0,0
Returning_Visitor,May,3272,0,0,0,0.078571429,0.045238095,41,0,2,FALSE,6,0,1,6,0.8,0
Returning_Visitor,May,822.65,0,0,0,0.020804598,0.020689655,31,0,1,TRUE,1,0,3,4,1,0
Returning_Visitor,Mar,62,0,0,0,0.14,0.12,5,0,3,FALSE,2,0,3,1,0,0
New_Visitor,Oct,534.4833333,2,2,29.86666667,0.004166667,0,13,0,1,FALSE,1,99.6,2,2,0,0
Returning_Visitor,Nov,1238.586029,0,0,0,0.045269841,0.018571429,69,0,1,FALSE,8,0,7,1,0,0
New_Visitor,Jul,562.3,1,0,51.4,0,0,7,36.65735004,1,TRUE,1,0,6,2,0,1
Returning_Visitor,May,2325.611905,1,1,7,0.01814059,0.00952381,43,0,3,FALSE,2,2,1,4,0.8,0
New_Visitor,Nov,1401.458333,0,0,0,0.023529412,0,34,0,2,FALSE,2,0,9,11,0,1
New_Visitor,Nov,2151.097436,5,0,96.75,0.005172414,0,113,0,2,FALSE,2,0,2,11,0,0
Returning_Visitor,Feb,0,0,0,0,0.2,0.2,1,0,2,FALSE,6,0,1,2,0,0
Returning_Visitor,May,15,0,0,0,0.1,0,2,0,2,FALSE,6,0,7,3,0,0
Returning_Visitor,Nov,0,0,0,0,0.2,0.2,1,0,3,TRUE,2,0,9,13,0,0
Returning_Visitor,Nov,504.5,0,1,0,0.057142857,0,6,0,2,TRUE,2,0,3,8,0,0
Returning_Visitor,June,1688.2494,6,2,174.4571429,0.016407828,0,107,2.385969641,2,TRUE,4,24.2,1,2,0,0
Returning_Visitor,May,169.5,4,2,134.5,0.018888889,0.016666667,7,0,3,FALSE,2,330,1,3,0.8,0
New_Visitor,Nov,21.25,4,0,99.5,0.05,0,3,0,1,TRUE,1,0,2,8,0,1
Returning_Visitor,Nov,845.2788889,15,0,831.6222222,0.011944444,0,23,1.533539275,2,TRUE,2,0,7,20,0,0
Returning_Visitor,Nov,221.4,1,0,146,0.0225,0.025,7,0,1,FALSE,1,0,4,3,0,0
Returning_Visitor,Mar,789.9583333,2,0,14,0.015097222,0.004166667,49,0,3,FALSE,2,0,7,1,0,0
Returning_Visitor,Nov,33,0,0,0,0.1,0.033333333,6,0,2,FALSE,5,0,3,20,0,0
Returning_Visitor,May,1190.418903,6,2,32.5,0.027420635,0.005714286,80,7.530107143,2,FALSE,2,62.5,1,4,0.8,0
Returning_Visitor,Feb,25,0,0,0,0.066666667,0,3,0,2,FALSE,4,0,1,5,0,0
Returning_Visitor,May,837.3666667,0,0,0,0.054586466,0.021052632,19,0,1,TRUE,1,0,3,3,1,0
Returning_Visitor,May,1151.116667,0,0,0,0.017829457,0,44,7.529302326,2,FALSE,2,0,1,6,0,0
Returning_Visitor,Nov,916.5,7,0,112.375,0.036129032,0.010967742,24,0,3,FALSE,2,0,3,3,0,0
Returning_Visitor,Oct,49.4,4,0,76.4,0.033333333,0,2,16.77416803,2,FALSE,2,0,6,2,0,1
Returning_Visitor,Oct,272.0083333,1,0,149.2,0.014285714,0,13,82.021436,1,FALSE,1,0,1,20,0,1
Returning_Visitor,Mar,269.5,6,1,104,0.021568627,0,14,0,1,FALSE,1,0,1,3,0,0
Returning_Visitor,Nov,1602.94026,3,1,114.125,0.028731343,0.013432836,64,29.88386066,3,TRUE,2,13,1,3,0,0
Returning_Visitor,May,2382.428571,6,2,313,0.048227559,0.022641509,49,5.513345912,4,TRUE,2,0,1,4,0,0
Returning_Visitor,Aug,961.52,3,0,47.4,0.053623188,0.030434783,21,0,3,FALSE,2,0,4,4,0,0
Returning_Visitor,Dec,2351.834722,16,1,230.3263889,0.020836197,0.002061856,86,0.335232374,2,TRUE,2,0,4,10,0,0
Returning_Visitor,May,1838.5,0,0,0,0.052,0.004,25,0,2,FALSE,2,0,1,19,0,0
Returning_Visitor,June,605.6166667,6,0,352.3666667,0.008888889,0,11,0.714623214,2,FALSE,2,0,1,2,0,1
New_Visitor,Jul,92.4,1,0,383.8,0.016666667,0,11,0,2,FALSE,2,0,9,2,0,0
New_Visitor,May,402.7166667,4,0,153.25,0.003030303,0,19,57.474,2,TRUE,2,0,5,4,0,1
Returning_Visitor,May,6,0,0,0,0.133333333,0.066666667,3,0,2,FALSE,2,0,1,1,0.6,0
Returning_Visitor,Dec,690.2541667,1,0,8,0.029834711,0.012121212,32,10.05608631,1,TRUE,1,0,3,2,0,0
Returning_Visitor,May,244,0,0,0,0.047619048,0.004761905,14,0,2,FALSE,4,0,1,4,0,0
Returning_Visitor,Mar,399.8,1,0,17,0.038095238,0.019047619,22,0,1,FALSE,5,0,7,1,0,0
Returning_Visitor,May,68,0,0,0,0.1,0,1,0,2,FALSE,2,0,3,2,0,0
Returning_Visitor,May,1075.713095,3,1,37,0.034920635,0.011111111,17,0,3,TRUE,2,9,1,2,0,0
New_Visitor,Nov,193.3666667,0,0,0,0.023076923,0.015384615,13,0,3,TRUE,2,0,1,13,0,0
Returning_Visitor,Oct,1584.770476,14,2,128.8095238,0.029296378,0.009302326,37,0,2,FALSE,2,41.6,1,2,0,0
Returning_Visitor,May,0,0,0,0,0.2,0.2,1,0,3,FALSE,2,0,3,3,0,0
Returning_Visitor,May,1324.616667,0,0,0,0.043870968,0.009677419,33,0,2,FALSE,2,0,1,4,0.2,0
New_Visitor,Dec,70.75,2,4,334.25,0.00952381,0,2,0,1,TRUE,1,92.16666667,3,10,0,0
New_Visitor,June,55.9,3,0,41.3,0.014285714,0,4,0,3,FALSE,2,0,8,2,0,0
New_Visitor,May,197.5,1,0,47,0.025,0,11,0,3,FALSE,2,0,1,3,0,0
Returning_Visitor,Nov,1478.07381,0,0,0,0.038636364,0.020454545,45,0,2,FALSE,2,0,7,13,0,0
Returning_Visitor,Aug,443.75,16,0,391.6833333,0.006451613,0,24,0,2,FALSE,10,0,7,3,0,0
Returning_Visitor,Jul,443.4990476,7,4,327.2357143,0.022666667,0,42,18.50321705,2,FALSE,4,260,6,1,0,1
Returning_Visitor,May,1799.144235,9,0,150,0.020182874,0.009237379,128,0,3,FALSE,2,0,3,13,0.8,0
New_Visitor,Nov,124.9583333,4,3,88.625,0.005555556,0,5,0,2,FALSE,4,170.5833333,7,2,0,0
New_Visitor,Mar,1173.07,6,0,129.75,0.005319149,0,42,18.95323404,2,TRUE,2,0,3,8,0,1
Returning_Visitor,Nov,696.225,2,1,324.5,0.018055556,0.008333333,21,0,1,FALSE,1,0,4,2,0,0
Returning_Visitor,June,42.2,0,0,0,0.04,0,5,0,2,FALSE,2,0,3,1,0,0
Returning_Visitor,Mar,360.75,0,0,0,0.04,0,5,0,2,FALSE,4,0,3,1,0,0
Returning_Visitor,Mar,77,0,0,0,0.04,0,5,0,2,TRUE,4,0,1,3,0,0
Returning_Visitor,Nov,140.1666667,0,0,0,0.0375,0,8,0,2,TRUE,2,0,1,1,0,0
Returning_Visitor,Dec,934.15,5,1,123,0.034567901,0.014814815,26,0,1,FALSE,1,12.25,3,3,0,0
Returning_Visitor,Dec,30,0,0,0,0.033333333,0,3,0,1,FALSE,1,0,3,1,0,0
Returning_Visitor,May,4290.833333,0,0,0,0.01840796,0,67,0,2,FALSE,2,0,6,4,0.8,0
Returning_Visitor,May,17,0,0,0,0.142857143,0.085714286,7,0,2,FALSE,4,0,3,3,0,0
New_Visitor,Mar,17,2,0,37,0.05,0,3,0,3,TRUE,2,0,1,2,0,0
Returning_Visitor,Jul,589.2510658,3,0,356.6,0.010133221,0.001282051,39,0,1,FALSE,1,0,4,4,0,0
Returning_Visitor,Dec,1182.416667,10,0,247.75,0.038556068,0.017741935,27,7.994904291,2,FALSE,2,0,4,6,0,1
Returning_Visitor,May,283.5,0,0,0,0.010526316,0,19,0,2,FALSE,4,0,1,6,0.8,0
Returning_Visitor,May,336,0,0,0,0.01875,0,17,0,2,FALSE,2,0,1,4,0.8,0
Returning_Visitor,Mar,648.4,0,0,0,0.018,0,26,0,1,TRUE,1,0,1,3,0,0
New_Visitor,Nov,1740.525631,6,0,254,0.004876543,0,48,0,1,FALSE,1,0,3,2,0,1
Returning_Visitor,Nov,1568.5,2,0,58.5,0.036363636,0,11,0,2,FALSE,2,0,7,2,0,0
Returning_Visitor,May,495,1,0,4,0.044444444,0.022222222,9,0,3,FALSE,2,0,2,19,0.2,0
Returning_Visitor,Nov,4899.626984,2,1,21.5,0.06360119,0.036904762,56,0,2,TRUE,4,79,3,1,0,0
Returning_Visitor,Nov,1587.25,1,0,40.5,0.011538462,0,49,35.79969486,2,FALSE,2,0,3,13,0,1
Returning_Visitor,Nov,1017.166667,1,0,79,0.022318841,0.013043478,22,0,1,TRUE,1,0,1,2,0,0
Returning_Visitor,May,2588.077268,10,0,341.4285714,0.012068881,0.008333333,78,2.554071429,3,TRUE,2,0,2,6,0,0
Returning_Visitor,Feb,0,1,0,0,0.2,0.2,0,0,1,TRUE,2,0,1,5,0,0
Returning_Visitor,Dec,905.5,6,0,86,0.026666667,0,12,23.6393946,4,FALSE,5,0,1,1,0,1
Returning_Visitor,May,2107.583333,8,1,131.3333333,0.004166667,0,95,0,2,TRUE,2,4,4,4,0,0
